Number,Question,Human_answer
419,"A security review was done against one of our ASP.net applications and returned in the test results was a SQL Injection Exposures considered to be a high risk item. The test that was performed passed a SQL statement as the value of the __EVENTTARGET and the __EVENTARGUMENT. I am wondering since these 2 values are ASP.net auto-generated hidden fields used for the Auto-Postback feature of the framework and hold information specific to the controls initiating the postback, is there really the potential for SQL injection if you are never manually calling and or pulling values out of these parameters in your code behind? "," ..if you are never manually calling and or pulling values out of these parameters in your code behind... Assuming the above statement to be true, I don't see those parameters being susceptible to SQL Injection. Perhaps you ran an automated scan and this is a false alarm? "
420,I have a set of .csv files that I want to process. It would be far easier to process it with SQL queries. I wonder if there is some way to load a .csv file and use SQL language to look into it with a scripting language like python or ruby. Loading it with something similar to ActiveRecord would be awesome. The problem is that I don't want to have to run a database somewhere prior to running my script. I souldn't have additionnal installations needed outside of the scripting language and some modules. My question is which language and what modules should I use for this task. I looked around and can't find anything that suits my need. Is it even possible? ,"There's sqlite3, included into python. With it you can create a database (on memory) and add rows to it, and perform SQL queries. If you want neat ActiveRecord-like functionality you should add an external ORM, like sqlalchemy. That's a separate download though Quick example using sqlalchemy: from sqlalchemy import create_engine, Column, String, Integer, MetaData, Table from sqlalchemy.orm import mapper, create_session import csv CSV_FILE = 'foo.csv' engine = create_engine('sqlite://') # memory-only database table = None metadata = MetaData(bind=engine) with open(CSV_FILE) as f: # assume first line is header cf = csv.DictReader(f, delimiter=',') for row in cf: if table is None: # create the table table = Table('foo', metadata, Column('id', Integer, primary_key=True), *(Column(rowname, String()) for rowname in row.keys())) table.create() # insert data into the table table.insert().values(**row).execute() class CsvTable(object): pass mapper(CsvTable, table) session = create_session(bind=engine, autocommit=False, autoflush=True) Now you can query the database, filtering by any field, etc. Suppose you run the code above on this csv: name,age,nickname nosklo,32,nosklo Afila Tun,32,afilatun Foo Bar,33,baz That will create and populate a table in memory with fields name, age, nickname. You can then query the table: for r in session.query(CsvTable).filter(CsvTable.age == '32'): print r.name, r.age, r.nickname That will automatically create and run a SELECT query and return the correct rows. Another advantage of using sqlalchemy is that, if you decide to use another, more powerful database in the future, you can do so pratically without changing the code. "
421,"For instance if I am searching by an element's attribute like id: soup.findAll('span',{'id':re.compile(""^score_"")}) I get back a list of the whole span element that matches (which I like). But if I try to search by the innerText of the html element like this: soup.findAll('a',text = re.compile(""discuss|comment"")) I get back only the innerText part of element back that matches instead of the whole element with tags and attributes like I would above. Is this possible to do with out finding the match and then getting it's parent? Thanks. ","You don't get back the text. You get a NavigableString with the text. That object has methods to go to the parent, etc. from BeautifulSoup import BeautifulSoup import re soup = BeautifulSoup('&lt;html&gt;&lt;p&gt;foo&lt;/p&gt;&lt;/html&gt;') r = soup.findAll('p', text=re.compile('foo')) print r[0].parent prints &lt;p&gt;foo&lt;/p&gt; "
422,"I'm building an app for a small business so I've to work with currencies, decimal numbers, etc... My goal is to create something like pulseapp.com. I've searched for opensource projects to look and the only thing I had found was django-cashflow. This app uses python-money. I've read some of the code and the ways it's coded seems a bit weird to me and it's not fully complete. Is the app worth to take a deep look? Does anyone know about another similar app? Is the task difficult or a begginer like me could find a way to code it himself? ","I started to use python-money in an application a couple years ago, but had to abandon it due to some problem. I apologize for forgetting the exact problem, but I do remember for our use case it didn't make sense anyway... we just needed decimal fields. I'd also be wary of django-cashflow not having any activity for 2 years, although the project is small enough it should be easy enough to fix any problems yourself. For existing Django accounting apps I would suggest enhancing, or at least looking at, minibooks. NOTE: the license is AGPL v3 which could make it unusable for your environment. Another road to travel would be to investigate porting OpenERP (also GPL IIRC) from Python/GTK to Django. Tryton might also be a starting point, it's GPL3 and IIRC a fork of OpenERP. "
423,"I have a TextBlock binding as follows in my ControlTemplate. &lt;TextBlock Grid.Column=""1"" VerticalAlignment=""Center"" FontSize=""16"" FontFamily=""Arial"" FontWeight=""Bold"" Text=""{Binding RelativeSource={RelativeSource TemplatedParent},Path=ButtonText}""&gt; &lt;/TextBlock&gt; When I set ButtonText as follows with , it doesn't work. It doesn't display in separate line. ButtonText=""Change&lt;LineBreak/&gt; Casette"" How to fix this? Appreciate your help, please provide me with sample code. ","I used this code to obtain what you want. This is the XAML: &lt;Grid&gt; &lt;Grid.ColumnDefinitions&gt; &lt;ColumnDefinition /&gt; &lt;ColumnDefinition /&gt; &lt;/Grid.ColumnDefinitions&gt; &lt;TextBlock Grid.Column=""1"" VerticalAlignment=""Center"" FontSize=""16"" FontFamily=""Arial"" FontWeight=""Bold"" Text=""{Binding Path=ButtonText}""&gt; &lt;/TextBlock&gt; &lt;/Grid&gt; and this is the code behind. To make the example simplier, I don't create a ViewModel class: public Window1() { InitializeComponent(); DataContext = this; ButtonText = ""Change\r\nCasette""; } public string ButtonText { get { return (string)GetValue(ButtonTextProperty); } set { SetValue(ButtonTextProperty, value); } } // Using a DependencyProperty as the backing store for ButtonText. This enables animation, styling, binding, etc... public static readonly DependencyProperty ButtonTextProperty = DependencyProperty.Register(""ButtonText"", typeof(string), typeof(Window1), new UIPropertyMetadata("""")); "
424,"I am doing some unit testing stuff in Django. What is the relationship between TestCase class and the actual method in this class? What is the best practice for organizing these stuff? For example, I have class Test(TestCase): def __init__(self): ... def testTestA(self): #test code def testTestB(self): #test code If I organize in this way: class Test1(TestCase): def __init__(self): ... def testTestA(self): #test code class Test2(TestCase): def __init__(self): ... def testTestB(self): ... Which is better and what is the difference? Thanks! "," You rarely write __init__ for a TestCase. So strike that from your mental model of unit testing. You sometimes write a setUp and tearDown. Django automates much of this, however, and you often merely provide a static fixtures= variable that's used to populate the test database. More fundamentally, what's a test case? A test case is a ""fixture"" -- a configuration of a unit under test -- that you can then exercise. Ideally each TestCase has a setUp method that creates one fixture. Each method will perform a manipulation on that fixture and assert that the manipulation worked. However. There's nothing dogmatic about that. In many cases -- particularly when exercising Django models -- where there just aren't that many interesting manipulations. If you don't override save in a model, you don't really need to do CRUD testing. You can (and should) trust the ORM. [If you don't trust it, then get a new framework that you do trust.] If you have a few properties in a models class, you might not want to create a distinct method to test each property. You might want to simply test them sequentially in a single method of a single TestCase. If, OTOH, you have really complex class with lots of state changes, you will need a distinct TestCase to configure an object is one state, manipulate it into another state and assert that the changes all behaved correctly. View Functions, since they aren't -- technically -- stateful, don't match the Unit Test philosophy perfectly. When doing setUp to create a unit in a known state, you're using the client interface to step through some interactions to create a session in a known state. Once the session has reached as desired state, then your various test methods will exercise that session, and assert that things worked. Summary Think of TestCase as a ""Setup"" or ""Context"" in which tests will be run. Think of each method as ""when_X_should_Y"" statement. Some folks suggest that kind of name (""test_when_x_should_y"") So the method will perform ""X"" and assert that ""Y"" was the response. "
425,"Using an ajax helper created for use with Jquery I've created a form that posts comments to ""/comments/add"", and this works as expected on my local wamp server but not on my production server. On my production server I get a '404 error, cannot find /comments/add'. I've spent quite a bit of time searching for a resolution with no luck so far. I've focused on trying to identify a gap but nothing jumps out at me. Here are some observations: works as expected on local wamp server requestHandler is listed as component files on both local and production server are the same controllers folder has write access autoLayout and autoRender are both set to false Here is the form in my view: &lt;div class=""comments form""&gt; &lt;?php echo $ajax-&gt;form('/comments/add', 'tournament', array('url' =&gt; '/comments/add', 'update' =&gt; 'Comments', 'indicator' =&gt; 'commentSaved'));?&gt; &lt;fieldset&gt; &lt;legend&gt;&lt;?php __('Add Comment');?&gt;&lt;/legend&gt; &lt;div id=""commentSaved"" style=""display: none; float: right;""&gt; &lt;h2&gt;Loading...&lt;/h2&gt; &lt;/div&gt; &lt;?php echo $form-&gt;hidden('Comment.foreign_id', array('value' =&gt; $tournament['Tournament']['id'])); echo $form-&gt;hidden('Comment.belongs_to', array('value' =&gt; 'Tournament')); echo $form-&gt;input('Comment.name'); echo $form-&gt;input('Comment.email'); echo $form-&gt;input('Comment.web', array('value' =&gt; 'http://')); echo $form-&gt;input('Comment.content'); ?&gt; &lt;/fieldset&gt; &lt;?php echo $form-&gt;end('Submit');?&gt; &lt;/div&gt; And here is my 'comment's controller add action: function add() { if($this-&gt;RequestHandler-&gt;isAjax()) { $this-&gt;autoLayout = false; $this-&gt;autoRender=false; $this-&gt;Comment-&gt;recursive =-1; $commentInfos = $this-&gt;Comment-&gt;findAllByIp($_SERVER['REMOTE_ADDR']); $spam = FALSE; foreach($commentInfos as $commentInfo) { if ( time() - strtotime($commentInfo['Comment']['created']) &lt; 180) { $spam = TRUE; } } if ($spam === FALSE) { if (!empty($this-&gt;data)) { $this-&gt;data['Comment']['ip'] = $_SERVER['REMOTE_ADDR']; $this-&gt;Comment-&gt;create(); if ($this-&gt;Comment-&gt;save($this-&gt;data)) { $this-&gt;Comment-&gt;recursive =-1; $comments = $this-&gt;Comment-&gt;findAll(array('Comment.foreign_id' =&gt; $this-&gt;data['Comment']['foreign_id'], 'Comment.belongs_to' =&gt; $this-&gt;data['Comment']['belongs_to'], 'Comment.status' =&gt;'approved')); $this-&gt;set(compact('comments')); $this-&gt;viewPath = 'elements'.DS.'posts'; $this-&gt;render('comments'); } } } else { $this-&gt;Comment-&gt;recursive =-1; $comments = $this-&gt;Comment-&gt;findAll(array('Comment.foreign_id' =&gt; $this-&gt;data['Comment']['foreign_id'], 'Comment.belongs_to' =&gt; $this-&gt;data['Comment']['belongs_to'], 'Comment.status' =&gt;'approved')); $this-&gt;set(compact('comments')); $this-&gt;viewPath = 'elements'.DS.'posts'; $this-&gt;render('spam'); } } else { $this-&gt;Session-&gt;setFlash(__('Invalid Action. Please view a post to add a comment.', true)); $this-&gt;redirect(array('controller' =&gt; 'pages', 'action'=&gt;'display', 'home')); } } As you can see I've made sure that 'autoLayout' and 'autoRender' are set to false, but in Firebug I still get a 404 error stating /comments/add cannot be found on the production server. I should also point out that I'm using jquery, jquery.form and jquery.editable as well as a ajax helper created to be used with jquery. Any help or even suggestions about how to trouble shoot this is really appreciated. Cheers, Paul ","Turns out that this was caused by the last few lines of code, calling a session that I don't use in comments. else { $this-&gt;Session-&gt;setFlash(__('Invalid Action. Please view a post to add a comment.', true)); $this-&gt;redirect(array('controller' =&gt; 'pages', 'action'=&gt;'display', 'home')); } Lesson learned, be careful with code you get from a tutorial. It might have something you don't use. -Paul "
426,"I have a table, but it is not in a list format, meaning not a column/row format. I look for specific cells to add a hover event that displays a description of the cell. $(""#TableID td"").hover(function(){ //ifCellThatIWant $(this).append(""&lt;span&gt;Message that was brought in&lt;/span&gt;""); }, function(){ $(this).children().remove(); }); The problem is right now is that the hover displays a span(with info. inside) that I used jquery to append the span to the cell when mouseover, which expands the cell, which is an effect that I don't like or want. I'm Trying to have an out of the table look,but still be by the cell that triggered the event; because if the span has a lot of info. in it, expanding the cell dynamically will start to look pretty nasty. Also will help if I had some type of css direction on how will I make the display for the mouseover ""description"" span look nice. My mind thought is that a way to accomplish what I want is giver the appended span the position of my mouse cursor when hover, but not sure if its the right approach or what the syntax would look like. ","Make the span display as block and set the z-index greater than anything else on the page. Then you can absolute position it and set the left and top properties to the x and y positions of the mouse location. EDIT: Here's a demo of what I mean --> http://jsbin.com/odape. Instead of appending a span, I would suggest just creating a placeholder one at the bottom of your html to use for each cell and just change the text to display (not sure how you were bringing it in so I didn't add it in my example. "
427,"I am trying to have one input on my page that I would like to have a U.S. phone number mask by default. If a end user clicks a checkbox specifing they would like to enter a International phone number I want the mask to be removed. I have tried multiple ways and have been unsuccessful thus far. In the current project I am using jQuery to hide/show a completely different input. But I don't like that option and would like a more streamlined approach. I am using the following: jQuery 1.4.1 (going to upgrade to 1.4.2 soon) and jQuery.MaskedInput-1.2.2 &lt;script type=""text/javascript""&gt; $(document).ready(function($) { if ($(""#InternationalOfficePhone"").attr('checked') == false) { $(""#OfficePhone"").mask(""(999) 999-9999? x99999""); } }); $(""#InternationalOfficePhone"").click(function() { if ($(""#InternationalOfficePhone"").attr('checked') == true) { //$(""#OfficePhone"").mask(); //doesn't work //$(""#OfficePhone"").unmask(); //doesn't work $(""#OfficePhone"").unmask(""(999) 999-9999? x99999""); //doesn't work } else { $(""#OfficePhone"").mask(""(999) 999-9999? x99999""); } }); &lt;/script&gt; The code above works properly to set the default mask, but no matter what I try on the click event for the InternationalOfficePhone it doesn't remove the mask. Any help is much appreciated. ","I was able to figure out the code to get it to work. Below is the code I am using now. &lt;script type=""text/javascript""&gt; $(function($) { $(""#OfficePhone"").mask(""(999) 999-9999? x99999""); $(""#InternationalOfficePhone"").click(function() { var mask = ""(999) 999-9999? x99999""; if ($(""#InternationalOfficePhone"").is(':checked')) { $(""#OfficePhone"").unmask(mask); } else { $(""#OfficePhone"").mask(mask); } }); }); &lt;/script&gt; "
428,"I've a table with a datetime (format: 'Y-m-d H:i:s') 'created' field and 'amount' (integer) field in each row. Now I want to find out month wise total 'amount' in last year. How can I do this? EDIT I made an edit to clarify the actual problem. so basically I want to know total 'amount' in each month, but only for the last year. EDIT2 Last year means last 365 days. So somewhere I've to consider 'current day'? EDIT3 My bad, actually last year is last 12 months. So number of days would be between 336 and 365. ","Try this (updated to answer your ""edit3""): SELECT YEAR(created) as year, MONTH(created) AS month, SUM(amount) AS total_amount FROM table1 WHERE created BETWEEN DATE(NOW()) - INTERVAL (DAY(NOW()) - 1) DAY - INTERVAL 11 MONTH AND NOW() GROUP BY YEAR(created), MONTH(created) ORDER BY YEAR(created), MONTH(created); Example result (when run in April 2010): year month total_amount 2009 5 26 2010 1 20 Note also that months with no entries will not be returned at all (rather than being returned with total_amount = 0). Test data: CREATE TABLE table1 (created datetime NOT NULL, amount INT NOT NULL); INSERT INTO table1 (created, amount) VALUES ('2010-01-01 13:56:23', 5), ('2010-01-04 13:56:23', 15), ('2009-05-04 13:56:23', 26); "
429,"Having trouble with WSH and Windows Compression. My goal is to be able to zip up files (not folders, but individual files from various locations, which I have stored in an array) using the built-in Windows Compression. I am using VB6. Here is my routine (vb6 code): Dim objShell Dim objFolder Set objShell = CreateObject(""Shell.Application"") Set objFolder = objShell.namespace(savePath &amp; ""\export.zip"") ' -- ' loop through array holding files to zip For i = 0 To filePointer objFolder.CopyHere (filesToZip(i)) Next ' -- Set objShell = Nothing Set objFolder = Nothing It works, but issues arise when there are more than a few files. I start getting errors from Windows (presumably, its calling the compression too fast, and the zip file is locked). I cant seem to figure out how to WAIT until the COPYHERE function completes before calling the next one to avoid issues. Does anyone have any experience with this? Thanks - ",You should be able to achieve that sort of synchronization by checking the file count in your target ZIP folder before proceeding to the next loop iteration (as suggested here and here): For i = 0 To filePointer objFolder.CopyHere filesToZip(i) Do Until objFolder.Items.Count = i+1 WScript.Sleep 100 Loop Next 
430,"I have a Silverlight 3 application, and in a method, I want to determine when the last time that the application received user input was. Is there an easy way to detect this? ","I doubt there is framework support for such a value, but you should be able to roll your own easily enough by monitoring key, mouse and other input events and setting a timestamp value accordingly. You could even persist this in isolated storage to carry the value across sessions (provided the user has not disabled isolated storage of course). "
431,"I want to be able to create the XSD file for my typed dataset without using the visual studio dataset designer. Is there a way to do this using for instance a command-line tool? There is some magic happening when a table is dragged from the server explorer to the design surface, but where does that magic come from? To add some flavour to the mix, I am using DB2 LUW 9.1, but I am guessing that the process is similar using other database vendors. Once I have the XSD I can use XSD.exe to create my .CS class, no problem. Thanks for any help or suggestion! /Per ","If you have data in XML format that corresponds to your database tables, XSD.exe can be used to infer a schema from them directly. Otherwise, if you just have your database and you want to generate both the classes and the XSD file from it, you can maybe do something like this: HOW TO: Write an XSD Schema From a Database using a DataSet. "
432,"i'm playing with MEF and in the example i see this code ( i call it the MEF compose code): var catalog = new AssemblyCatalog(System.Reflection.Assembly.GetExecutingAssembly()); var container = new CompositionContainer(catalog); container.ComposeParts(); In most examples this is done in the same source file as the Startup Program class lives, as well as all of the other interfaces and classes. Now i want to use the MEF, but i wonder what this container does. As far as i guessed it does the export / import mapping, but what if i have this code (from a windows forms app: [STAThread] static void Main() { Application.Run(new Form1()); } and in that Form1 i want to create an object of type Auditer (which has a property of type ILogger marked import, and i have a class implementing ILogger marked export). Do i have to place the MEF compose code in the void Main(), in the Load event of Form1, or in the constructor of the Auditer class? I only get it to work when i put it (the MEF compose code) in the constructor of the Auditer class, but the examples i read somehow give me the idea that you only have to call the compose code once. ","The CompositionContainer is the class that actually composes your parts in MEF. When you want to use MEF, you need to always compose the part that's attributed with the import definitions. If you have a property in Form1 that's marked with [Import(typeof(ILogger))], at some point, you'll need to compose your Form1 instance. The CompositionContainer is the class that actually performs this composition. It finds the appropriate exported ILogger based off the Catalog(s) contained within the container, and constructs types, matches exports to the imports, etc. The reason that the MEF samples only ""compose"" one time is that, often, with DI, you'll have a single instance of the container constructed and setup at the beginning of the application, and it will compose your ""main"" window. All other classes will be composed automatically if they're being used as part of the main window. (For example, if Form1 composes an ILogger, but your ILogger implementation has an [Import] of it's own, it too will get composed in that pass.) That being said, there is no fixed rule that specifies you can't compose more than once. In WPF and Silverlight, for example, it's frequent that MEF can't construct your object, which means it can't automatically compose your object for you. In these situations, a common pattern is to use the CompositionInitializer (in the box in Silverlight, not in the desktop) to have parts compose themselves, based off a static catalog. I recently blogged about this approach for WPF. With Windows Forms, this may be less necessary, since there isn't a third party product (the XAML parser) constructing your types. However, you could still use this same approach, if you so choose. "
433,"How do you handle ajax requests when user is not authenticated? Someone enters the page, leaves room for an hour, returns, adds comment on the page that goes throuh ajax using jQuery ($.post). Since he is not authenticated, method return RedirectToRoute result (redirects to login page). What do you do with it? How do you handle it on client side and how do you handle it in controller? ","EDIT: I wrote above answer a long time ago and now I believe that sending 403 is not proper way to go. 403 has slightly different meaning and it just shouldn't be used. This is corrected attribute using 401. It differs only with additional context.HttpContext.Response.End() in Http401Result and different HTTP code: public class OptionalAuthorizeAttribute : AuthorizeAttribute { private class Http401Result : ActionResult { public override void ExecuteResult(ControllerContext context) { // Set the response code to 401. context.HttpContext.Response.StatusCode = 401; context.HttpContext.Response.Write(CTRes.AuthorizationLostPleaseLogOutAndLogInAgainToContinue); context.HttpContext.Response.End(); } } private readonly bool _authorize; public OptionalAuthorizeAttribute() { _authorize = true; } //OptionalAuthorize is turned on on base controller class, so it has to be turned off on some controller. //That is why parameter is introduced. public OptionalAuthorizeAttribute(bool authorize) { _authorize = authorize; } protected override bool AuthorizeCore(HttpContextBase httpContext) { //When authorize parameter is set to false, not authorization should be performed. if (!_authorize) return true; var result = base.AuthorizeCore(httpContext); return result; } protected override void HandleUnauthorizedRequest(AuthorizationContext filterContext) { if (filterContext.RequestContext.HttpContext.Request.IsAjaxRequest()) { //Ajax request doesn't return to login page, it just returns 401 error. filterContext.Result = new Http401Result(); } else base.HandleUnauthorizedRequest(filterContext); } } OLD ANSWER: While I like the ideas posted in other answers (which I had an idea about earlier), I needed code samples. Here they are: Modified Authorize attribute: public class OptionalAuthorizeAttribute : AuthorizeAttribute { private class Http403Result : ActionResult { public override void ExecuteResult(ControllerContext context) { // Set the response code to 403. context.HttpContext.Response.StatusCode = 403; context.HttpContext.Response.Write(CTRes.AuthorizationLostPleaseLogOutAndLogInAgainToContinue); } } private readonly bool _authorize; public OptionalAuthorizeAttribute() { _authorize = true; } //OptionalAuthorize is turned on on base controller class, so it has to be turned off on some controller. //That is why parameter is introduced. public OptionalAuthorizeAttribute(bool authorize) { _authorize = authorize; } protected override bool AuthorizeCore(HttpContextBase httpContext) { //When authorize parameter is set to false, not authorization should be performed. if (!_authorize) return true; var result = base.AuthorizeCore(httpContext); return result; } protected override void HandleUnauthorizedRequest(AuthorizationContext filterContext) { if (filterContext.RequestContext.HttpContext.Request.IsAjaxRequest()) { //Ajax request doesn't return to login page, it just returns 403 error. filterContext.Result = new Http403Result(); } else base.HandleUnauthorizedRequest(filterContext); } } HandleUnauthorizedRequest is overridden, so it returns Http403Result when using Ajax. Http403Result changes StatusCode to 403 and returns message to the user in response. There is some additional logic in attribute (authorize parameter), because I turn on [Authorize] in the base controller and disable it in some pages. The other important part is global handling of this response on client side. This is what I placed in Site.Master: &lt;script type=""text/javascript""&gt; $(document).ready( function() { $(""body"").ajaxError( function(e,request) { if (request.status == 403) { alert(request.responseText); window.location = '/Logout'; } } ); } ); &lt;/script&gt; I place a GLOBAL ajax error handler and when ever $.post fails with a 403 error, the response message is alerted and the user is redirected to logout page. Now I don't have to handle the error in every $.post request, because it is handled globally. Why 403, and not 401? 401 is handled internally by MVC framework (that is why redirection to login page is done after failed authorization). What do you think about it? "
434,"I was looking for a platform where widgets developed using various technologies like Java can communicate with each other. In other words When I add widgets to an interface I need them to talk to each other. For example A Click event in one widget should trigger an event in some other widget. I have been looking into the web for solutions and ways to do it, but couldnt find anything concrete. Any pointers or information on this would be great. Something like this http://blogs.oracle.com/pdblog/entry/inter_widget_communication_in_cross Google also had a gadget to gadget communication API which was deprecated last year. ","you could look into ""postmessage"", which is a communications API defined in html5 and supported in most browsers (IE8 included). for full cross-browser support (so including IE6/IE7) you could resort to the jquery postmessage plugin. "
435,"I am working on a shipping platform which will eventually automate shipping through several major carriers. I have a ShipmentsView Usercontrol which displayes a list of Shipments (returned by EntityFramework), and when a user clicks on a shipment item, it spawns a ShipmentEditView and passes the ShipmentID (RecordKey) to that view. I initially wrestled with trying to get the context from the parent (ShipmentsView) and finally gave up resolving to get to it later. I wanted to do this to keep a single instance of the context. anyhow, I now create a new instance of the context in my ShipmentEditViewModel, and query against it for the Shipment record. I know I could just pass the record, but I wanted to use the Ocean Framework that Karl Shifflett wrote and don't want to muck about writing new transition methods. So anyhow, I query and when stepping through, I can see that it returns a record, as soon as execution reached the point where it assigned the query result to the e.Result property, it throws up the following exception depending on the query I used. LINQToEntities Dim RecordID As Decimal = CDec(e.Argument) Dim myResult = From ship In _Context.Shipment _ Where ship.ShipID = e.Argument _ Select ship Select Case myResult.Count Case 0 e.Result = New Shipment Case 1 e.Result = myResult(0) Case Else e.Result = Nothing End Select ""LINQ to Entities does not recognize the method 'System.Object.CompareObjectEqual(System.Object, System.Object, Boolean)' method, and this method cannot be translated into a store expression. LINQToEntities via Method calls Dim RecordID As Decimal = CDec(e.Argument) Dim myResult = _Context.Shipment.Where(Function(s) s.ShipID = RecordID) Select Case myResult.Count Case 0 e.Result = New Shipment Case 1 e.Result = myResult(0) Case Else e.Result = Nothing End Select LINQ to Entities does not recognize the method 'SnazzyShippingDAL.Shipment ElementAtOrDefault[Shipment] (System.Linq.IQueryable`1[SnazzyShippingDAL.Shipment], Int32)' method, and this method cannot be translated into a store expression. I have been trying to get this thing to display a record for like three days. i am seriously thinking about going back and re=-engineering it without the MVVM pattern (which I realize I am only starting to learn and understand) if only to make the &amp;$^%ed thing work. Any help will be muchly appreciated. Cory ","This: Dim RecordID As Decimal = CDec(e.Argument) Dim myResult = From ship In _Context.Shipment _ Where ship.ShipID = e.Argument _ Select ship ...should be: Dim RecordID As Decimal = CDec(e.Argument) Dim myResult = From ship In _Context.Shipment _ Where ship.ShipID = RecordID _ Select ship Because you want to compare the ID with an ID, not with an object. This: Case 1 e.Result = myResult(0) Should be: Case 1 e.Result = myResult.First() "
436,"I am trying to add some text validation to an edit text field located within an alert dialog box. It prompts a user to enter in a name. I want to add some validation so that if what they have entered is blank or null, it does not do anything apart from creating a Toast saying error. So far I have: AlertDialog.Builder alert = new AlertDialog.Builder(this); alert.setTitle(""Record New Track""); alert.setMessage(""Please Name Your Track:""); // Set an EditText view to get user input final EditText trackName = new EditText(this); alert.setView(trackName); alert.setPositiveButton(""Ok"", new DialogInterface.OnClickListener() { public void onClick(DialogInterface dialog, int whichButton) { String textString = trackName.getText().toString(); // Converts the value of getText to a string. if (textString != null &amp;&amp; textString.trim().length() ==0) { Context context = getApplicationContext(); CharSequence error = ""Please enter a track name"" + textString; int duration = Toast.LENGTH_LONG; Toast toast = Toast.makeText(context, error, duration); toast.show(); } else { SQLiteDatabase db = waypoints.getWritableDatabase(); ContentValues trackvalues = new ContentValues(); trackvalues.put(TRACK_NAME, textString); trackvalues.put(TRACK_START_TIME,tracktimeidentifier ); insertid=db.insertOrThrow(TRACK_TABLE_NAME, null, trackvalues); } But this just closes the Alert Dialog and then displays the Toast. I want the Alert Dialog to still be on the screen. Thanks ","I think you should recreate the Dialog, as it seems the DialogInterface given as a parameter in onClick() doesn't give you an option to stop the closure of the Dialog. I also have a couple of tips for you: Try using Activity.onCreateDialog(), Activity.onPrepareDialog() and of course Activity.showDialog(). They make dialog usage much easier (atleast for me), also dialog usage looks more like menu usage. Using these methods, you will also be able to more easilty show the dialog again. I want to give you a tip. It's not an answer to your question, but doing this in an answer is much more readable. Instead of holding a reference to an AlertDialog.Builder() object, you can simply do: new AlertDialog.Builder(this) .setTitle(""Record New Track"") .setMessage(""Please Name Your Track:"") //and some more method calls .create(); //or .show(); Saves you a reference and a lot of typing ;). (almost?) All methods of AlertDialog.Builder return an AlertDialog.Builder object, which you can directly call a method on. The same goes for Toasts: Toast.makeText(this, ""Please enter..."", Toast.LENGTH_LONG).show(); "
437,"I'm using Gnu Emacs on OSX, Windows, and Linux. Is there some command which can download and install packages (or .el files) automatically? I've seen there are some work-in-progress projects on the internet (after googling) but I was wondering if I was missing some awesome package manager out there that just works. ","Yes, the Emacs development mailing list has a long discussion regarding integrating a package manager package.el into the next major release of Emacs: Integrating package.el. It automatically downloads and installs packages from the ELPA (Emacs Lisp Package Archive. Read the installation page to obtain the latest. "
438,"I'm trying to make a simple survey in php I have a set of radio buttons on a page called sja.php that sends its to sjamail.php page the problem is that when I go to get $answer = $_POST['ans']; I can't seen to do anything like echo ""$answer""; but if I were to throw some logic at it like if ($answer == ""ans1"") { echo 'Correct'; } else { echo 'Incorrect'; } It will display correct or incorrect (edit: The if/else works correctly and will display the correct answer ) so why is it I can't access the value of the radio button ""ans"" as a string? http://www.markonsolutions.com/sja.php print_r($_POST); will return Array ( [ans] =&gt; ) ","Your page works correctly if you select any of the first 4 radio buttons (ans1/2/3/4). But the rest of the radio buttons next to all those images have blank values, which would explain why your posted value is empty if you selected any of those to test with. "
